dadoem;1,25;0,6;0,975;0,85;1;1;0,916666666666667;0,583333333333333;0,708333333333333;0,666666666666667;0,583333333333333;0,541666666666667;0,666666666666667;0,625;0,666666666666666;0,625;0,541666666666666;
memy_pro_kotow;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
threadshot;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
saintbeobanka;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,958333333333333;0,958333333333333;0,958333333333333;1,08333333333333;1,08333333333333;1,08333333333333;1;1;1;1;1;1;1;0,944444444444445;0,944444444444445;0,944444444444445;0,944444444444445;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;0,861111111111111;
bigtvforyou;1;1;1;1;1;0,875;0,875;0,791666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;1;1;1;1;1;1;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,916666666666667;0,875;0,875;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,845833333333333;0,845833333333333;0,845833333333333;0,845833333333333;0,845833333333333;0,845833333333333;0,845833333333333;0,5;
velvetcat;1;1;1;1;1;1;1;1;1;1;0,916666666666667;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,833333333333333;0,979166666666667;0,979166666666667;0,979166666666667;0,9375;0,9375;0,895833333333333;0,895833333333333;0,895833333333333;0,729166666666667;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,8125;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,729166666666667;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;0,6875;
feg_nya;1;1;1;1;1;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,875;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;0,979166666666667;
smeshnotebesuka;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
darknet_nash;1;1;1;1;1;1;1;1;1;1;1;1;1;0,916666666666667;0,916666666666667;0,916666666666667;1,04166666666667;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;0,958333333333333;
weirdanimals;0,75;1;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,708333333333333;0,979166666666667;0,979166666666667;0,979166666666667;0,558333333333333;0,558333333333333;0,558333333333333;0,558333333333333;0,558333333333333;0,558333333333333;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;0,516666666666667;
dualmemesoriginal;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
vidya_gaem;1;1;1;1;1;1;1;1;1;0,958333333333333;0,875;0,875;0,875;0,875;0,875;0,875;0,875;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
have_a_seat;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;1,125;
birbs;1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;
webmland;0,5;0,625;1;0,625;0,625;0,5;0,541666666666667;0,583333333333333;0,625;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,666666666666667;0,583333333333333;0,979166666666667;0,9375;0,895833333333333;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,5;0,625;0,666666666666667;0,791666666666667;0,833333333333333;0,930555555555555;0,625;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,541666666666667;0,4;0,4;0,4;0,4;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;
